code,definition,Example 1,Example 2,Example 3
chart:support perception,"make marks, axes, labels, and other chart elements directly legible at the needed level of detail",Maybe make the trend line a touch thinner so the bubbles stand out more. Softer gridlines could help with readability without changing the design.,"To make your insight stand out more, I would recommend moving likes to the left (you can do this by dragging the field in the legend) so that users are reading the amount of likes from the zero baseline.","I think your colors look good when there is space between the marks, but when the blue and green are right next to each other I have a hard time telling them apart. One thing you could consider is adding a white border in your donut charts to add some visual separation"
chart:keep encoding consistent,use the same visual encoding for the same idea,Waffle chart direction changes between countries (photo 1); recommends making them consistent so it's easier to compare between countries and track visually.,Fix the x axis on your upper charts - when the charts are filtered by state the axes reset - so that visually the bar length a state that does 1 mm  takes up the same hoizontal space as a state that does 100mm,
chart:differentiate views,make different views or meanings easy to tell apart,"Moving on, the fact that the simple orders are quicker to execute, maybe that will lead to decision to have a weekend menu, so this is good insight, because it answers the question ""so what"". However, I cannot see the red/grey dots under the blue dots, why not split the chart per type. or pick a different chart.",Are you comparing the percentage of Multi-listing homes across locations with the average listing per host? I’m not sure what’s being communicated. Consider making them separate charts and remember line charts are best for time based data.,"I'm a bit unsure of the difference between the top two graphs, other than one is a stacked bar. Is the difference that the first will most always have 10 values, but the second could have up to 20 (10 per type)? If they don't show independent values, is there a need to make them independent?"
chart:choose suitable encoding,use a chart form that fits the thing being shown,"The heatmap can't show trends well because a) there are no labels b) north america data dwarfs everyone else. A better option would be a line chart - which you can then clearly see that travel dipped in february, but otherwise not much of a trend.","My best advice, in general, is when you want to make a MoM/YoY comparison, prefer Bar Chart instead of Trend Line. In such cases Bar Chart proofs your point better and is easier for the eye to spot the difference between the 2 periods.",the radial bar chart does not reflect a % of total as the title implies - the total of the bars would exceed 100% so something is wrong - also the radial bar format in difficult for viewer to compare values
,,,,
color:use color purposefully,"use color because it helps, not just because it is available","With color, LESS IS MORE. Your Aging bin have vibrant colors associated with them, but what do these colors mean? Avoid using color for color's sake","there are not too many bars, but there are far too many colors to be meaningful - if someone asks about ""the blue one"" do you know which one they'd be pointin to? I'd recommend either going with a single color, or coloring on an insight you want to call out (for example the minimum or maximum)",The categorical colors are redundant since the you already have them labeled in the y-axis consider using a uniform color.
color:keep color consistent,reuse colors for the same attributes across the dashboard,On the second and third DB you are using overlapping color schemes with thos on the first - but the meaning of the colors is different - it is confusing for users to search for legends or comments to decipher the meaning on each sheet,"That said: *use colors meaningfully*. DevType is shown on three different graphs: on the first, it is uncolored; on the second it is colored only in the lollipop and matches the color key; in the Sankey a _different_ color that doesn't match the color key. This can be confusing.",There is conflict among the color coding blue and orange mean different things depending on the worksheet - in cases like this use separate pallets for the two
color:encode and distinguish meaning,"use color to carry meaning and distinguish categories, scales, or status clearly","While green is in line with the greenhouse, you have greens for regions &amp; similar greens in other graphs. When most people see the same color, they assume the metric is the same. I would ask if it makes more sense to put the regions in a disassociated color, like blues or grays?","The Airport Flight Status Distribution heatmap effectively compares cancelled, delayed, and on-time flights across airports. The percentage labels improve readability and make the differences easy to interpret. Slightly stronger color contrast could further highlight the variations between flight statuses.","The overall structure of your Sankey chart works, but the low contrast between the colors makes it hard to immediately see which room types dominate in each city. Because the tones are so soft and similar, the flows start blending together, which makes the revenue differences harder to interpret. If you increase the contrast (either by using more saturated colors or choosing shades that are more distinct from each other) the major flows will stand out right away."
,,,,
layout:organize related views,group or integrate related views so their connection is easy to understand,"For the payment method chart, it may be better to move the overall sales to the top so its cleaner and i'd suggest keeping the total sales and trend line in the same container so they have the same white background","I'm not sure why all the text in the paragraphs is where it is. I would make sure that whatever text you have is supported by your charts, and your charts support your text.","Color legends - if you could get these closer to the chart they are relevant to, that would help your users I suspect."
